,Coefficient Name,Coefficient Value
0,Demand_Previous,0.6893792844568896
1,Demand_Lagged,0.1112146730391476
2,Demand_Rolling,0.2270411694284284
3,TEMPERATURE_lagged,7.285653702646714
4,CPI_lagged,6.835360626746929
5,Exports_lagged,-1.6052583500139237e-10
6,GDP_lagged,1.3902360348517252e-09
7,Interest_lagged,9.0890477281731
8,Residential_lagged,6.129498845019818e-05
9,Commercial_lagged,3.0234410503464845e-06
10,SolarOutput_lagged,-0.0005083962871336364
11,Unemployment_lagged,25.251833130308164
12,Price_lagged,0.04753399649679138
13,CommPrice_lagged,-2.2482147127160768
14,HourOfDay,37.47137472917401
15,DayOfWeek,64.44285107727117
16,DayOfYear,0.16685599098443932
17,IsWeekend,-602.5021211151412
