,R^2
TOTALDEMAND,0.840821141061484
Demand_Previous,0.7871359335596474
Demand_Lagged,0.7873560383727735
Demand_Rolling,0.8096646068941539
TEMPERATURE_lagged,0.8170203192517355
CPI_lagged,0.844108800255599
Exports_lagged,0.8292529651041948
GDP_lagged,0.8392011151421666
Interest_lagged,0.8365469305267852
Residential_lagged,0.840821141061484
Commercial_lagged,0.840821141061484
SolarOutput_lagged,0.8376663123594262
Unemployment_lagged,0.8381093036560059
Price_lagged,0.8374218749858411
CommPrice_lagged,0.8364181754058713
Rainfall,0.820813636878785
SolarExposure,0.8328424461914762
HourOfDay,0.7417483223102146
DayOfWeek,0.8210291068527156
DayOfYear,0.8150873750824766
IsWeekend,0.840821141061484
